position,link,title,source,date,snippet,thumbnail,locality
5,https://www.mid-day.com/mumbai/mumbai-news/article/real-estate-rs-75000-a-sq-foot-worlds-priciest-garbage-dump-23337188,"Real estate Rs 75,000 a sq foot = world’s priciest garbage dump",Mid-day,"Feb 27, 2024","City's swish Malabar Hill area has a rubbish problem; debris, old furniture 
sails into the building.",https://serpapi.com/searches/66afcc125b54ef718839fac6/images/e64771eb9154f3a5d2cbafb529a1c35d1c4329a2de962e61722bd106c9b2272e.jpeg,Malabar Hill
6,https://www.gqindia.com/content/meet-the-indian-billionaire-businessman-who-bought-2-lavish-sea-facing-homes-for-rs-270-crore-in-mumbai-making-it-one-of-the-biggest-real-estate-transactions-of-2024-see-photos,"Meet the Indian billionaire businessman who bought 2 lavish sea-facing homes for Rs 270 Crore in Mumbai, making it one of the biggest real estate transactions of 2024. See photos",GQ India,"Apr 18, 2024","Mumbai's real estate market continues to witness an upward trend as another 
wealthy Indian billionaire businessman has invested a...",https://serpapi.com/searches/66afcc125b54ef718839fac6/images/e64771eb9154f3a56336b33a7f5e956a5bd980d7d32aa8c20f69e43b3cd956cd.jpeg,Malabar Hill
7,https://www.thehindubusinessline.com/news/real-estate/two-flats-in-lodha-malabar-sold-for-270-crore/article68067564.ece,Two flats in Lodha Malabar sold for ₹270 crore,The Hindu BusinessLine,"Apr 15, 2024","The demand for luxury residences continues unabated in Mumbai, the biggest 
property market in the country in terms of value.",https://serpapi.com/searches/66afcc125b54ef718839fac6/images/e64771eb9154f3a59b7945d0a984ded6d92d23170b487368ec8ad228720f54c9.jpeg,Malabar Hill
8,https://housing.com/news/nadir-godrej-buys-apartments-for-rs-180-cr-in-mumbais-malabar-hill/,Nadir Godrej buys apartments for Rs 180 cr in Mumbai’s Malabar Hill,Housing,1 month ago,"Industrialist Nadir Godrej has purchased three luxury apartments for Rs 180 
crore in Ruparel House, in south Mumbai's Malabar Hill,...",https://serpapi.com/searches/66afcc125b54ef718839fac6/images/e64771eb9154f3a51ae504b916c409cf1dd504511153d4929ae282055228a34e.jpeg,Malabar Hill
9,https://www.freepressjournal.in/business/godrej-agrovet-chief-nadir-godrej-acquires-3-luxury-apartments-in-mumbais-malabar-hill-for-180-crore-reports,Godrej Agrovet Chief Nadir Godrej Acquires 3 Luxury Apartments In Mumbai’s Malabar Hill For ₹180 Crore:,Free Press Journal,1 month ago,"Nadir Godrej, the chairperson of Godrej Agrovet, has made headlines with 
his recent purchase of 3 sea-view luxury apartments in Mumbai's...",https://serpapi.com/searches/66afcc125b54ef718839fac6/images/e64771eb9154f3a5ee1642f041bb00d60bc03100cb0bacd858b3b4976bbf1b50.jpeg,Malabar Hill
10,https://www.hindustantimes.com/cities/mumbai-news/malabar-hill-micro-market-picks-up-with-14-projects-101704135745751.html,Malabar Hill micro-market picks up with 14 projects,Hindustan Times,"Jan 2, 2024","The report threw light on 14 different projects at different stages of 
construction by 12 developers that lie in this catchment.",https://serpapi.com/searches/66afcc125b54ef718839fac6/images/e64771eb9154f3a56acf5554a9c54f18b25871ced75ccda92a479529124f0e7b.jpeg,Malabar Hill
1,https://www.moneycontrol.com/news/business/real-estate/godrej-agrovet-chief-nadir-godrej-buys-3-apartments-in-malabar-hill-for-rs-180-crore-12750615.html,Godrej Agrovet chief Nadir Godrej buys 3 apartments in Malabar Hill for Rs 180 crore,Moneycontrol,1 month ago,"The apartment, sprawling 13831 sq ft was sold at Rs 1.3 lakh per sq ft and 
is located in the posh Ruparel House. The seller is JSW Realty.",https://serpapi.com/searches/66afcc13607393a3a5914aad/images/9d666736c788e04bb55541822e52920c6fa9d91b9413d34d463db86d5a170546.jpeg,Malabar Hill
2,https://www.dnaindia.com/business/report-who-is-asha-mukul-agrawal-woman-who-bought-rs-263-crore-flats-in-mumbai-param-capital-3062837,"Who is Asha Mukul Agrawal, woman who bought Rs 263 crore flats in Mumbai?",DNA India,"Oct 3, 2023","Asha Mukul Agrawal, director of Param Capital, a capital market investment 
and trading firm, recently made a significant real estate move.",https://serpapi.com/searches/66afcc13607393a3a5914aad/images/9d666736c788e04bb64dd38e4a82a21937eb62ee8c63a603ca677ae1beba6397.jpeg,Malabar Hill
3,https://www.timesnownews.com/business-economy/real-estate/rekha-jhunjhunwalas-family-makes-massive-investment-in-12-apartments-in-sobos-walkeshwar-for-article-108746469,Rekha Jhunjhunwala's Family Makes Massive Investment In 12 Apartments In SOBO’s Walkeshwar For...,Times Now,"Mar 24, 2024","Renowned investor Rekha Jhunjhunwala and her family have made a significant 
real estate investment in Mumbai's prestigious Walkeshwar Road area.",https://serpapi.com/searches/66afcc13607393a3a5914aad/images/9d666736c788e04bd3f9d189d80356a51936a1df86067273bfbb9a77bc50123a.jpeg,Malabar Hill
4,https://housing.com/news/ready-reckoner-rate-in-malabar-hill-mumbai/,"Ready reckoner rate in Malabar Hill, Mumbai",Housing,"Jan 3, 2024","In Mumbai, the determination of circle rates falls under the purview of the 
stamps and registration department, contingent upon the market...",https://serpapi.com/searches/66afcc13607393a3a5914aad/images/9d666736c788e04bf6870b8f1a4535047f91766b0267c32299e6a97b25134722.jpeg,Malabar Hill
5,https://www.freepressjournal.in/mumbai/mumbai-premium-housing-sales-in-malabar-hill-soar-by-79-in-a-year-crossing-1-lakh-per-sq-ft-mark,Mumbai: Premium Housing Sales In Malabar Hill Soar By 79% In A Year; Crossing ₹1 Lakh Per Sq Ft Mark,Free Press Journal,"Jan 3, 2024","With top builders already active in the market, three more A-grade builders 
are in line to launch their projects.",https://serpapi.com/searches/66afcc13607393a3a5914aad/images/9d666736c788e04b9757bd16e0bb768992f76e801e331db914b45dd9a3786873.jpeg,Malabar Hill
6,https://www.hindustantimes.com/real-estate/lodha-sells-two-luxury-apartments-in-mumbai-for-rs-270-crore-101713174831918.html,Wellknown Polyester's CMD buys two luxury apartments in Mumbai for ₹270 crore,Hindustan Times,"Apr 15, 2024","Macrotech Developers has sold two apartments in its luxury project Lodha 
Malabar for ₹270 crore to the chairman and managing director of Wellknown 
Polyesters...",https://serpapi.com/searches/66afcc13607393a3a5914aad/images/9d666736c788e04be5a90bc1aab058cc1101728d9ed38bc978565e7f9d8a5f19.jpeg,Malabar Hill
7,https://housing.com/news/kumar-mangalam-birla-house/,Kumar Mangalam Birla’s Mumbai House: Facts about the 425-Cr bungalow,Housing,"Feb 21, 2024","The Jatia House in south Mumbai was purchased by Kumar Mangalam Birla for 
Rs 425 Cr after a day-long auction. Here are some key facts about...",https://serpapi.com/searches/66afcc13607393a3a5914aad/images/9d666736c788e04b5dd8aa25e60929e5efddf9270573130de43f1c58dbb5aa21.jpeg,Malabar Hill
8,https://www.hindustantimes.com/real-estate/mumbai-real-estate-all-that-you-need-to-know-about-bulk-property-deals-being-registered-in-the-financial-capital-101711611126069.html,Mumbai real estate: All that you need to know about ‘bulk’ property deals being registered in the financial capital,Hindustan Times,"Mar 28, 2024","High-net worth individuals generally look for 'bulk' real estate deals in 
the same or varied projects as an investment, for end use so that multiple 
family...",https://serpapi.com/searches/66afcc13607393a3a5914aad/images/9d666736c788e04b12293538cbfc52c6b9f68be5218afb378dfa4931c13f19e1.jpeg,Malabar Hill
9,https://www.moneycontrol.com/news/business/real-estate/param-capitals-asha-mukul-agrawal-buys-3-luxury-flats-in-mumbai-for-rs-263-crore-11460361.html,Param Capital's Asha Mukul Agrawal buys 3 luxury flats in Mumbai for Rs 263 crore,Moneycontrol,"Oct 1, 2023","These apartments are located in Lodha Malabar in Mumbai's Malabar Hill, and 
have been bought from Macrotech Developers.",https://serpapi.com/searches/66afcc13607393a3a5914aad/images/9d666736c788e04be04b3b894d3789de15d943e31199db14a6805446d7a81c3c.jpeg,Malabar Hill
10,https://housing.com/news/posh-residential-areas-in-mumbai/,Posh Areas In Mumbai With Property Prices,Housing,"Oct 16, 2023","Check out the list of posh areas in Mumbai and its suburban regions that is 
known for housing celebrities, millionaires and businessmen.",https://serpapi.com/searches/66afcc13607393a3a5914aad/images/9d666736c788e04bb4480a6d54c298f9f6cc93969f15733318b713c4fb76ffd6.jpeg,Malabar Hill
1,https://www.timesnownews.com/business-economy/real-estate/mumbais-uber-luxury-real-estate-market-jaw-dropping-apartment-sold-at-massive-rs-130-24-cr-check-out-buyers-name-article-104110523,Mumbai's Uber-Luxury Real Estate Market: Jaw-Dropping Apartment Sold At MASSIVE Rs 130.24 Cr - Check Out Buyer,Times Now,"Oct 2, 2023","In a remarkable transaction that reflects the surging demand for 
uber-luxury real estate in Mumbai, a single apartment spanning an 
expansive...",https://serpapi.com/searches/66afcc1514b2451087adfd13/images/9f3aaa132a28fd2afddc424cb20a91ae071389cb84ebb648dca900b079b2535c.jpeg,Malabar Hill
2,https://www.financialexpress.com/market/stock-investor-mukul-agrawals-wife-buys-3-ultra-luxury-flats-in-malabar-hill-3260046/,Stock investor Mukul Agrawal’s wife buys 3 ultra luxury flats in Malabar hill,The Financial Express,"Oct 1, 2023","In one of the most expensive residential property deals in the country, 
Asha Mukul Agrawal has bought three ultra luxurious apartments in...",https://serpapi.com/searches/66afcc1514b2451087adfd13/images/9f3aaa132a28fd2a111712b404d4fbd14de037f79e4a444b08d93a66e07a8ba4.jpeg,Malabar Hill
3,https://www.hindustantimes.com/cities/mumbai-news/man-posing-as-sales-executive-steals-and-sells-two-mercedes-cars-from-real-estate-developer-in-mumbai-101692300616995.html,"Malabar Hill resident sends his Mercedes cars for ‘free servicing’, finds them on sale in Pune",Hindustan Times,"Aug 18, 2023","A man posing as a sales executive from a car showroom in Mumbai took away 
two Mercedes cars from a real estate developer in Malabar Hill and...",https://serpapi.com/searches/66afcc1514b2451087adfd13/images/9f3aaa132a28fd2a257b6209e9b462d8ad3a455c5869d563e7bb3d0573a88f4f.jpeg,Malabar Hill
4,https://www.cnbctv18.com/photos/real-estate/mumbai-malabar-hill-to-lutyens-delhi-most-expensive-neighbourhoods-in-india-14222842.htm,"From Mumbai's Malabar Hill to Lutyens Delhi, a look at India's most expensive neighbourhoods",CNBC TV18,"Jul 24, 2022","No discussion on upmarket real estate is complete without the mention of 
what have by now become familiar residential locations across the...",https://serpapi.com/searches/66afcc1514b2451087adfd13/images/9f3aaa132a28fd2a768335eab3fb1113e808471493c5f99fb20d52a79130c4aa.jpeg,Malabar Hill
5,https://www.mansworldindia.com/more/news/indias-10-most-expensive-homes-sold-since-2021,10 Of India's Most Expensive Homes Sold Since 2021,Man's World India,"Jul 20, 2022","Following a report from property data aggregator Zapkey, a list of India's 
biggest property sales from 2021 to date has been revealed.",https://serpapi.com/searches/66afcc1514b2451087adfd13/images/9f3aaa132a28fd2a533dd74daca4074658291041e6d2c44b878e9e6b07fbbed0.jpeg,Malabar Hill
6,https://www.moneycontrol.com/news/business/real-estate/dmarts-radhakishan-damani-buys-malabar-hill-house-in-one-of-the-costliest-real-estate-deals-in-mumbai-6726451.html,DMart's Radhakishan Damani buys Malabar Hill house in one of the costliest real estate deals in Mumbai,Moneycontrol,"Apr 3, 2021","In one of the biggest property deals in Mumbai, DMart founder Radhakishan 
Damani and his brother Gopikishan Damani bought a Rs 1,001-crore...",https://serpapi.com/searches/66afcc1514b2451087adfd13/images/9f3aaa132a28fd2a6188f9efd0f3f139a516659af672e5f0d29f17337b7bf6d1.jpeg,Malabar Hill
7,https://www.moneycontrol.com/news/business/real-estate/bajaj-auto-chairman-niraj-bajaj-buys-triplex-in-mumbais-malabar-hill-for-rs-252-5-crore-10249871.html,Bajaj Auto Chairman Niraj Bajaj buys triplex in Mumbai’s Malabar Hill for Rs 252.5 crore,Moneycontrol,"Mar 14, 2023","In yet another large deal in Mumbai, Bajaj Auto Chairman Niraj Bajaj has 
bought a sea-facing triplex apartment from Macrotech Developers in...",https://serpapi.com/searches/66afcc1514b2451087adfd13/images/9f3aaa132a28fd2ab09bb9aa33647020a0dc0215f0d8506a15298a37c02562e6.jpeg,Malabar Hill
8,https://m.economictimes.com/industry/services/property-/-cstruction/birla-estates-acquires-prime-land-parcel-in-south-mumbais-malabar-hill/articleshow/99733290.cms,Birla Estates acquires prime land parcel in South Mumbai’s Malabar Hill,The Economic Times,"Apr 24, 2023","Birla Estates, the real estate development arm of the Aditya Birla Group, 
has acquired a prime land parcel in South Mumbai's upmarket...",https://serpapi.com/searches/66afcc1514b2451087adfd13/images/9f3aaa132a28fd2ac73e696fd06e734995fc37b228bdb4be1e7d4e2ca25a5805.jpeg,Malabar Hill
9,https://www.thehindubusinessline.com/news/real-estate/jobsforher-founder-buys-malabar-hill-flat-for-121-crore/article66754998.ece,JobsforHer founder buys Malabar Hill flat for ₹121 crore,The Hindu BusinessLine,"Apr 19, 2023","Founder and CEO of JobsforHer, Neha Bagaria has bought an apartment in 
Malabar Hill, Mumbai, for ₹121 crore.",https://serpapi.com/searches/66afcc1514b2451087adfd13/images/9f3aaa132a28fd2a65d64b419ee530bb8744bccb8b6d87f86f094f23976ad0d8.jpeg,Malabar Hill
10,https://www.moneycontrol.com/news/business/real-estate/the-rs-1000-crore-mumbai-home-that-lies-deserted-10309591.html,"The Rs 1,000-crore Mumbai home that lies deserted",Moneycontrol,"Mar 25, 2023","It cost a neat Rs 2 lakh when it was built in the late 1930s but the real 
value of this house in Mumbai's Malabar Hill lies in the history...",https://serpapi.com/searches/66afcc1514b2451087adfd13/images/9f3aaa132a28fd2a6f8cc97a729432a80246a41808f81ee67d8995b94a456e59.jpeg,Malabar Hill
1,https://www.hindustantimes.com/cities/mumbai-news/aditya-birla-s-real-estate-arm-buys-prime-land-in-mumbai-s-malabar-hill-for-luxury-residential-project-at-rs-162-30-crore-101682413460667.html,Birla Estates acquires prime land in Malabar Hill,Hindustan Times,"Apr 25, 2023","This is the second purchase by the Aditya Birla group in less than two 
weeks. On April 10, BGH Properties Ltd, a company whose directors are...",https://serpapi.com/searches/66afcc18cace96458a95d0c8/images/1f6865c9e37eda0b38d031e93b79c7cd3bdd5316437a7bdb253b979a093b2212.jpeg,Malabar Hill
2,https://www.rprealtyplus.com/news-views/birla-estates-acquires-land-for-luxury-residential-project-at-malabar-hill-mumbai-110398.html,"Birla Estates Acquires Land for Luxury Residential Project at Malabar Hill, Mumbai",Realty Plus Magazine,"Apr 25, 2023","Birla Estates Private Limited, the real estate arm of the Aditya Birla 
Group housed under Century Textiles and Industries Limited,has...",https://serpapi.com/searches/66afcc18cace96458a95d0c8/images/1f6865c9e37eda0b5f50d0e1d07ee580004fa2a75ae2f94f874b8de25d24b506.jpeg,Malabar Hill
3,https://www.businessinsider.in/india/news/indias-most-expensive-homes-dmarts-radhakishan-damanis-dream-home-cost-him-1001-crore/articleshow/92976542.cms,"India’s most expensive homes: DMart’s Radhakishan Damani’s dream home cost him ₹1,001 crore",Business Insider India,"Jul 22, 2022","Radhakishan Damani 's new house – bought for ₹1,001 crore – is located in 
the Malabar Hill area of Mumbai.",https://serpapi.com/searches/66afcc18cace96458a95d0c8/images/1f6865c9e37eda0b87e199a4e8c29c8e80d4b3ef14b60e0986fd078202a19867.jpeg,Malabar Hill
4,https://www.moneycontrol.com/news/business/real-estate/area-watch-will-luxury-homes-post-covid-bring-back-south-mumbais-charm-11060711.html,Area Watch: Will luxury homes post-COVID bring back South Mumbai’s charm?,Moneycontrol,"Jul 31, 2023","South Mumbai, once known for being among the costliest real estate markets, 
is set to witness a heavy inflow of infrastructure projects like...",https://serpapi.com/searches/66afcc18cace96458a95d0c8/images/1f6865c9e37eda0bbc56316a12b2640db1bc18ba879990a42545f9178244df71.jpeg,Malabar Hill
5,https://www.rprealtyplus.com/news-views/luxury-homes-sale-rise-by-50-in-mumbai-111535.html,Luxury Homes Sale Rise By 50% In Mumbai,Realty Plus Magazine,"Jul 25, 2023","With higher demand from industrialists, Bollywood celebs, high salaried 
employees the top luxury micro-markets in Mumbai - Worli, Malabar...",https://serpapi.com/searches/66afcc18cace96458a95d0c8/images/1f6865c9e37eda0b40e7e3e62f648b56731a6041c9a4b7fd714c4f886c45996a.jpeg,Malabar Hill
6,https://www.moneycontrol.com/news/business/real-estate/birla-estates-acquires-land-for-residential-project-at-malabar-hill-in-south-mumbai-sees-rs-600-crore-revenue-potential-10466111.html,Birla Estates acquires land for residential project at Malabar Hill in South Mumbai,Moneycontrol,"Apr 24, 2023","Birla Estates Private Limited, the real estate arm of the Aditya Birla 
Group housed under Century Textiles, on April 24 announced the...",https://serpapi.com/searches/66afcc18cace96458a95d0c8/images/1f6865c9e37eda0b2ecba03a4379ea04e8fd839b480667be7f14ceb9dd67bbb7.jpeg,Malabar Hill
7,https://www.business-standard.com/article/economy-policy/pandemic-proof-marquee-realty-soars-in-south-mumbai-here-re-the-top-buys-121040700073_1.html,"A Rs 1,001 cr house for Mr Damani and other marquee realty buys in Mumbai",Business Standard,"Apr 7, 2021","DMart promoter Radhakishan Damani has reasons besides snob value for buying 
plush Malabar Hill property, say experts.",https://serpapi.com/searches/66afcc18cace96458a95d0c8/images/1f6865c9e37eda0b958b4978c8166ce12be649c76b43708e74d74f9416057faf.jpeg,Malabar Hill
